counter,av_current, av_target, spd,av_current, av_target, spd,av_current, av_target, spd
4,387.51,370.00,0.38,411.83,370.00,0.08,412.90,370.00,0.08
5,386.68,370.00,0.35,406.67,370.00,0.03,407.14,370.00,0.03
6,382.61,370.00,0.34,397.99,370.00,0.02,397.82,370.00,0.02
7,378.30,370.00,0.35,384.93,370.00,0.06,382.94,370.00,0.07
8,375.63,380.00,0.57,379.90,380.00,0.54,376.00,380.00,0.57
1,380.09,380.00,0.55,384.19,380.00,0.51,386.66,380.00,0.50
2,385.18,380.00,0.52,410.70,380.00,0.32,411.84,380.00,0.31
3,395.40,380.00,0.43,425.91,380.00,0.15,427.05,380.00,0.14
4,396.31,380.00,0.40,424.21,380.00,0.07,423.73,380.00,0.07
5,394.97,380.00,0.37,414.70,380.00,0.05,414.95,380.00,0.05
6,395.21,380.00,0.34,407.40,380.00,0.03,405.36,380.00,0.04
7,390.37,380.00,0.34,398.74,380.00,0.04,396.63,380.00,0.06
8,384.25,390.00,0.60,389.33,390.00,0.56,383.95,390.00,0.60
1,388.60,390.00,0.58,393.54,390.00,0.53,392.65,390.00,0.55
2,399.75,390.00,0.50,420.10,390.00,0.34,422.34,390.00,0.34
3,402.85,390.00,0.46,436.25,390.00,0.17,438.73,390.00,0.16
4,406.97,390.00,0.41,433.13,390.00,0.10,438.17,390.00,0.06
5,408.12,390.00,0.37,429.62,390.00,0.04,430.43,390.00,0.02
6,401.44,390.00,0.38,420.20,390.00,0.02,418.90,390.00,0.02
7,402.34,390.00,0.35,409.84,390.00,0.03,407.72,390.00,0.04
8,395.42,400.00,0.60,398.42,400.00,0.58,396.25,400.00,0.60
1,399.80,400.00,0.58,409.70,400.00,0.51,406.20,400.00,0.54
2,408.29,400.00,0.52,430.02,400.00,0.35,433.05,400.00,0.34
3,415.05,400.00,0.46,447.08,400.00,0.17,445.78,400.00,0.18
4,416.07,400.00,0.42,444.18,400.00,0.09,447.06,400.00,0.08
5,416.87,400.00,0.38,438.96,400.00,0.04,438.38,400.00,0.05
6,413.26,400.00,0.38,426.87,400.00,0.05,426.69,400.00,0.05
7,408.88,400.00,0.38,420.20,400.00,0.04,417.97,400.00,0.06
8,407.52,410.00,0.60,409.04,410.00,0.59,406.31,410.00,0.61
1,410.41,410.00,0.59,418.03,410.00,0.53,414.45,410.00,0.56
2,415.04,410.00,0.55,440.94,410.00,0.35,445.99,410.00,0.33
3,423.73,410.00,0.48,456.33,410.00,0.19,458.28,410.00,0.17
4,427.45,410.00,0.43,456.47,410.00,0.09,455.79,410.00,0.10
5,428.36,410.00,0.39,450.78,410.00,0.04,447.30,410.00,0.06
6,423.47,410.00,0.39,439.48,410.00,0.04,440.17,410.00,0.04
7,421.30,410.00,0.37,432.51,410.00,0.03,428.05,410.00,0.06
8,414.99,420.00,0.64,418.49,420.00,0.61,414.60,420.00,0.64
1,419.55,420.00,0.61,430.12,420.00,0.53,429.20,420.00,0.55
2,425.79,420.00,0.57,453.43,420.00,0.35,453.74,420.00,0.36
3,434.92,420.00,0.49,465.48,420.00,0.20,467.00,420.00,0.20
4,439.46,420.00,0.43,464.10,420.00,0.12,465.71,420.00,0.11
5,437.04,420.00,0.41,457.65,420.00,0.07,457.22,420.00,0.08
6,436.88,420.00,0.38,450.89,420.00,0.05,451.04,420.00,0.05
7,432.31,420.00,0.38,439.42,420.00,0.06,437.85,420.00,0.08
8,426.25,430.00,0.64,432.39,430.00,0.60,428.88,430.00,0.62
1,427.80,430.00,0.64,436.47,430.00,0.56,433.72,430.00,0.59
2,437.64,430.00,0.57,459.86,430.00,0.39,463.04,430.00,0.38
3,447.59,430.00,0.49,476.07,430.00,0.21,476.77,430.00,0.22
4,445.66,430.00,0.47,477.98,430.00,0.11,479.18,430.00,0.11
5,449.86,430.00,0.41,471.09,430.00,0.06,470.40,430.00,0.07
6,442.91,430.00,0.41,460.92,430.00,0.05,458.90,430.00,0.07
7,442.03,430.00,0.39,452.28,430.00,0.05,450.13,430.00,0.07
8,437.52,440.00,0.65,441.83,440.00,0.62,438.60,440.00,0.64
1,442.75,440.00,0.61,448.87,440.00,0.56,445.52,440.00,0.59
